cuda:1
Namespace(data_dir='./data', log_dir='.', master_address='tcp://localhost:2222', rank=0, world_size=1, network='Resnet50', compress=None, method=None, ratio=0.5, threshold=0.001, qstates=0, momentum=0.0, extras='11', k_min0=0.01, k_max0=0.001, k_min1=0.01, k_max1=0.001, memory=0, gpu=1)
Downloading datasets
cuda:1
Warming up cudnn on random inputs on device cuda:1
Starting timer cuda:1
       epoch           lr   train_time   train_loss    train_acc    test_time    test_loss     test_acc   total_time
          68       0.2473      71.4651       2.5497       0.3938       4.8050       2.8801       0.3498    4862.6881
          69       0.2448      71.3976       2.5390       0.3963       4.7101       2.8548       0.3572    4934.0857
          70       0.2424      71.4367       2.5206       0.3995       4.8591       3.0271       0.3293    5005.5224
          71       0.2400      71.5842       2.5124       0.4000       4.8422       2.7465       0.3674    5077.1066
          72       0.2376      71.3388       2.4934       0.4041       4.8667       2.7027       0.3757    5148.4454
          73       0.2352      71.9855       2.4823       0.4069       4.8773       2.7133       0.3758    5220.4310
          74       0.2327      71.4924       2.4603       0.4089       4.8499       2.7345       0.3700    5291.9233
          75       0.2303      72.0957       2.4486       0.4134       4.8952       2.6844       0.3849    5364.0190
          76       0.2279      71.0863       2.4355       0.4170       5.1415       2.8257       0.3609    5435.1053
          77       0.2255      71.7604       2.4209       0.4184       4.8532       2.8231       0.3591    5506.8657
          78       0.2230      71.4217       2.4139       0.4212       4.7246       2.7923       0.3592    5578.2874
          79       0.2206      71.5402       2.3864       0.4267       4.8892       2.8638       0.3558    5649.8277
          80       0.2182      71.3119       2.3840       0.4254       4.8135       2.9672       0.3434    5721.1396
          81       0.2158      71.2086       2.3534       0.4318       4.9100       2.7703       0.3700    5792.3482
          82       0.2133      71.2983       2.3487       0.4332       4.5731       2.7515       0.3757    5863.6464
          83       0.2109      71.7250       2.3419       0.4334       4.9151       2.7620       0.3765    5935.3714
          84       0.2085      71.5668       2.3247       0.4370       4.9061       2.9841       0.3488    6006.9382
          85       0.2061      71.2641       2.3133       0.4415       4.6090       2.6522       0.3943    6078.2023
          86       0.2036      71.2325       2.2861       0.4447       4.6017       2.7947       0.3748    6149.4348
          87       0.2012      71.4509       2.2761       0.4471       4.8494       2.7529       0.3833    6220.8857
          88       0.1988      71.9367       2.2636       0.4512       4.9526       2.7732       0.3760    6292.8225
          89       0.1964      71.2107       2.2506       0.4519       4.8913       2.7475       0.3795    6364.0332
          90       0.1939      71.6424       2.2360       0.4553       5.0653       2.7804       0.3787    6435.6756
          91       0.1915      71.5164       2.2148       0.4609       4.5878       2.7974       0.3771    6507.1920
          92       0.1891      71.4097       2.2001       0.4636       4.5941       2.6553       0.3973    6578.6017
          93       0.1867      71.3420       2.1977       0.4627       4.6347       2.8820       0.3633    6649.9436
